Date,Time,PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),T,RH,AH,CO(GT)
3/13/2004,10:00:00,1447,1081,250,869,126,12.4,51.2,0.7335,3.2
3/13/2004,11:00:00,1542,1184,296,808,158,15.6,42.2,0.7451,4.1
3/13/2004,12:00:00,1451,1117,239,875,161,18.4,33.8,0.709,3.6
3/13/2004,13:00:00,1328,1059,153,987,124,19.4,31.3,0.695,2.8
3/13/2004,14:00:00,1207,924,118,1088,102,18,34.8,0.7127,2
3/13/2004,15:00:00,1240,947,119,1049,116,18.4,33.6,0.7042,2
3/13/2004,16:00:00,1306,987,138,1004,124,17.6,35.1,0.7012,2.5
3/13/2004,17:00:00,1326,1000,148,976,125,16.7,37.8,0.7117,2.3
3/13/2004,18:00:00,1473,1163,227,831,148,16.1,41,0.7451,3.2
3/13/2004,19:00:00,1609,1286,277,758,165,15.8,42.4,0.7569,4.2
3/13/2004,20:00:00,1611,1274,279,754,161,15.7,44.1,0.7786,4.2
3/13/2004,21:00:00,1621,1247,283,762,159,15.3,46.8,0.8091,4.2
3/13/2004,22:00:00,1444,1089,214,844,143,14.6,48.6,0.806,3.1
3/13/2004,23:00:00,1418,1010,172,892,130,14.7,49.3,0.8193,2.6
3/14/2004,0:00:00,1534,1013,190,889,129,13.9,53.6,0.8498,2.9
3/14/2004,1:00:00,1484,1045,174,880,119,14.6,51.5,0.8536,2.8
3/14/2004,2:00:00,1367,925,128,953,104,12.5,58.9,0.8537,2.5
3/14/2004,3:00:00,1344,968,-200,921,-200,11.6,63.4,0.8674,2.4
3/14/2004,4:00:00,1130,773,70,1130,82,12.1,61.1,0.8603,-200
3/14/2004,5:00:00,1062,691,53,1272,70,11.5,63.1,0.8533,1.2
3/14/2004,6:00:00,1076,618,44,1395,63,11.6,62.2,0.8473,1
3/14/2004,7:00:00,1028,615,74,1384,67,10.4,67.6,0.853,0.9
3/14/2004,8:00:00,1155,722,101,1225,84,11.6,62.7,0.853,1.4
3/14/2004,9:00:00,1235,828,118,1055,83,12.4,60,0.8627,1.6
3/14/2004,10:00:00,1332,923,144,952,98,14.5,53.1,0.8728,2.2
3/14/2004,11:00:00,1445,1009,176,878,114,16.9,46.1,0.8789,2.8
3/14/2004,12:00:00,1416,1002,161,907,119,19.3,38.3,0.8474,2.8
3/14/2004,13:00:00,1281,880,113,1084,104,21.2,31.4,0.7812,2
3/14/2004,14:00:00,1207,879,103,1104,102,21.4,30.2,0.7616,1.8
3/14/2004,15:00:00,1258,906,112,1081,107,21.9,29,0.7525,1.9
3/14/2004,16:00:00,1458,1045,170,974,129,22.2,28.4,0.7516,3
3/14/2004,17:00:00,1438,1051,180,943,128,21.3,30.8,0.7696,2.9
3/14/2004,18:00:00,1478,1055,160,929,121,19.7,36.7,0.8307,2.5
3/14/2004,19:00:00,1808,1312,261,753,157,18.4,41.7,0.8732,4.6
3/14/2004,20:00:00,1898,1381,325,681,173,17.6,46.1,0.921,5.9
3/14/2004,21:00:00,1560,1140,217,784,146,16.7,49.6,0.932,3.4
3/14/2004,22:00:00,1324,940,146,924,121,16.3,51,0.9341,2.1
3/14/2004,23:00:00,1349,933,152,933,119,14.7,55.9,0.9314,2.2
3/15/2004,0:00:00,1239,872,104,985,99,14.8,54.7,0.9164,1.8
3/15/2004,1:00:00,1239,853,106,1010,93,14,57,0.9094,1.8
3/15/2004,2:00:00,1224,855,108,998,88,13.4,61.3,0.9361,1.8
3/15/2004,3:00:00,1078,734,-200,1128,-200,12.6,63.5,0.923,1.1
3/15/2004,4:00:00,1078,711,66,1150,71,12.3,65.4,0.9351,-200
3/15/2004,5:00:00,1075,703,88,1156,74,11.9,67.4,0.9375,1
3/15/2004,6:00:00,1157,830,138,1030,80,11.4,70.5,0.9475,1.4
3/15/2004,7:00:00,1314,966,228,897,89,11.3,70.2,0.9401,2.2
3/15/2004,8:00:00,1797,1451,360,652,114,12.4,63.9,0.917,5.5
3/15/2004,9:00:00,1961,1701,478,537,149,14.8,54.3,0.9076,8.1
3/15/2004,10:00:00,1771,1470,394,622,157,17.4,45.6,0.8993,5.8
3/15/2004,11:00:00,1564,1300,319,710,155,19.8,38.5,0.8801,4.2
3/15/2004,12:00:00,1430,1120,201,831,134,22,34.1,0.8904,3.1
3/15/2004,13:00:00,1417,1146,171,830,119,23.3,32.2,0.9096,2.9
3/15/2004,14:00:00,1400,1162,159,838,111,23.9,30,0.8757,2.9
3/15/2004,15:00:00,1317,1053,153,926,104,24.4,28.9,0.8736,2.5
3/15/2004,16:00:00,1318,1033,143,950,99,24.4,29.4,0.8848,2.3
3/15/2004,17:00:00,1445,1141,156,857,110,23.8,31.3,0.9137,2.8
3/15/2004,18:00:00,1917,1601,314,631,162,22.5,35.4,0.9547,6.1
3/15/2004,19:00:00,2040,1754,404,542,187,20.4,42.5,1.0086,8
3/15/2004,20:00:00,1895,1573,320,565,165,18.3,52.6,1.0945,6.5
3/15/2004,21:00:00,1595,1294,256,678,145,16.7,57.4,1.0786,4.2
3/15/2004,22:00:00,1439,1159,193,764,125,15.7,60.2,1.0654,3.2
3/15/2004,23:00:00,1142,852,89,1008,101,15.3,61.4,1.058,1.4
3/16/2004,0:00:00,1304,1019,127,852,103,14.1,65.7,1.0494,2.1
3/16/2004,1:00:00,1074,784,79,1098,88,14.8,60.6,1.0148,1.2
3/16/2004,2:00:00,968,640,43,1320,61,14.8,59.2,0.9879,0.8
3/16/2004,3:00:00,929,608,-200,1376,-200,13.6,62.1,0.9636,0.7
3/16/2004,4:00:00,941,626,59,1316,59,12.3,66.2,0.945,-200
3/16/2004,5:00:00,937,585,38,1412,52,12.8,63.2,0.9283,0.6
3/16/2004,6:00:00,1017,681,82,1246,64,11.2,68.5,0.9081,0.9
3/16/2004,7:00:00,1171,770,99,1162,70,11,66.5,0.8705,1.3
3/16/2004,8:00:00,1541,1185,263,770,97,11.7,63.7,0.8719,3.4
3/16/2004,9:00:00,1539,1287,229,698,95,13.6,56.3,0.8743,3.7
3/16/2004,10:00:00,1735,1431,396,628,150,17.8,42.9,0.8672,5.3
3/16/2004,11:00:00,1571,1297,314,730,162,21.4,33.3,0.8417,4.1
3/16/2004,12:00:00,1452,1250,217,776,154,24.4,27.4,0.8231,3.3
3/16/2004,13:00:00,1579,1359,252,724,161,25.3,26.1,0.8264,4
3/16/2004,14:00:00,1466,1309,263,773,161,25.8,23.2,0.7589,3.8
3/16/2004,15:00:00,1280,1136,180,893,128,27,20.2,0.7094,2.8
3/16/2004,16:00:00,1407,1197,184,905,129,28.2,18.6,0.7014,2.9
3/16/2004,17:00:00,1389,1173,190,898,133,28,19.1,0.7098,2.9
3/16/2004,18:00:00,1447,1235,184,859,139,23.9,25.7,0.7519,3.4
3/16/2004,19:00:00,1551,1271,181,800,137,21.3,34.8,0.873,3.9
3/16/2004,20:00:00,1474,1173,166,854,143,20.4,36.7,0.8704,3.2
3/16/2004,21:00:00,1800,1426,317,700,177,19,41.3,0.9007,5.1
3/16/2004,22:00:00,1379,1101,184,818,138,17.9,45.9,0.9342,2.6
3/16/2004,23:00:00,1201,943,130,935,117,16.7,48.9,0.9226,1.7
3/17/2004,0:00:00,1205,925,132,922,107,15.5,52.9,0.9271,1.7
3/17/2004,1:00:00,1072,784,95,1066,90,15.5,51.9,0.9059,1.2
3/17/2004,2:00:00,998,714,70,1169,79,14.1,55.6,0.891,0.9
3/17/2004,3:00:00,933,625,-200,1292,-200,13.1,57.9,0.8666,0.7
3/17/2004,4:00:00,883,577,54,1396,60,12.7,57.9,0.8447,-200
3/17/2004,5:00:00,869,554,28,1460,40,11.8,58,0.8026,0.5
3/17/2004,6:00:00,891,576,46,1417,53,11.9,57.4,0.7978,0.5
3/17/2004,7:00:00,1173,878,160,1038,84,9.9,65.2,0.7956,1.6
3/17/2004,8:00:00,1587,1334,320,702,108,11.1,60.2,0.7958,4.1
3/17/2004,9:00:00,1852,1696,377,553,127,14.1,50,0.802,6.6
3/17/2004,10:00:00,1522,1331,280,703,134,17.7,40.1,0.8048,4.3
3/17/2004,11:00:00,1438,1161,221,819,135,21.1,33.4,0.8265,2.9
3/17/2004,12:00:00,1393,1067,210,905,142,24.3,28.3,0.8471,2.5
3/17/2004,13:00:00,1452,1152,204,861,153,25.6,25.6,0.8254,2.8
3/17/2004,14:00:00,1389,1108,161,887,123,25.9,25.9,0.8503,2.6
3/17/2004,15:00:00,1207,994,135,1013,104,26.8,18.7,0.65,2
3/17/2004,16:00:00,1365,1154,186,940,129,29.3,15.8,0.6309,2.9
3/17/2004,17:00:00,1247,1060,147,1032,114,28.5,14.9,0.5708,2.5
3/17/2004,18:00:00,1557,1478,299,793,158,25.9,16,0.5237,5
3/17/2004,19:00:00,1973,1737,411,617,194,23.1,26.5,0.7403,7.6
3/17/2004,20:00:00,1975,1667,347,597,182,20.5,38.2,0.9133,6.7
3/17/2004,21:00:00,1795,1485,336,653,180,19.1,42.6,0.9294,5.7
3/17/2004,22:00:00,1444,1150,202,770,136,17.2,44.1,0.8558,2.8
3/17/2004,23:00:00,1488,1171,178,731,127,16,50.9,0.9206,2.6
3/18/2004,0:00:00,1371,1083,154,796,116,14.8,53.9,0.9024,2.3
3/18/2004,1:00:00,1161,904,92,947,107,14.3,55.4,0.8975,1.4
3/18/2004,2:00:00,1064,787,61,1057,88,14.8,52.1,0.8686,1
3/18/2004,3:00:00,970,687,-200,1196,-200,13.9,53.9,0.8501,0.7
3/18/2004,4:00:00,954,645,60,1260,78,11.6,61.9,0.8442,-200
3/18/2004,5:00:00,931,623,37,1293,57,12,58.9,0.8233,0.6
3/18/2004,6:00:00,938,650,68,1251,71,10.9,62.1,0.8113,0.7
3/18/2004,7:00:00,1166,885,139,1005,85,10.6,63.3,0.8067,1.5
3/18/2004,8:00:00,1643,1384,339,667,124,11.5,60,0.8117,4.7
3/18/2004,9:00:00,1934,1682,421,541,151,14.3,50.6,0.8186,6.6
3/18/2004,10:00:00,1617,1333,349,686,150,17.8,40.5,0.821,4.5
3/18/2004,11:00:00,1473,1127,224,831,152,20.8,34.4,0.8365,2.8
3/18/2004,12:00:00,1379,1068,171,899,139,23.8,28.2,0.8219,2.2
3/18/2004,13:00:00,1385,1056,149,891,133,24.2,28.7,0.8515,2.2
3/18/2004,14:00:00,1379,1087,137,901,126,25.2,24.9,0.7829,2.3
3/18/2004,15:00:00,1322,1129,149,934,128,27,17.8,0.6275,2.2
3/18/2004,16:00:00,1496,1205,172,822,169,27.1,23.1,0.818,2.8
3/18/2004,17:00:00,1409,1131,166,873,149,25.8,23.9,0.7832,2.7
3/18/2004,18:00:00,1513,1338,214,764,156,23,26.8,0.7446,3.7
3/18/2004,19:00:00,1667,1464,280,683,168,20.7,31.1,0.7523,5.1
3/18/2004,20:00:00,1667,1453,276,684,176,18.6,36.2,0.7676,5.1
3/18/2004,21:00:00,1430,1121,178,814,135,16,48.4,0.8768,3.2
3/18/2004,22:00:00,1333,989,129,885,121,14.5,57.8,0.9456,2.1
3/18/2004,23:00:00,1262,911,95,948,99,13.1,64.2,0.9606,1.7
3/19/2004,0:00:00,1287,936,126,918,106,12,69.7,0.9735,2
3/19/2004,1:00:00,1134,840,103,1021,96,11.9,71.1,0.9915,1.6
3/19/2004,2:00:00,999,688,48,1229,63,12.5,69.3,1.0029,0.9
3/19/2004,3:00:00,961,622,-200,1382,-200,12.5,67.5,0.9768,0.7
3/19/2004,4:00:00,934,569,20,1440,32,12.3,67.7,0.9665,-200
3/19/2004,5:00:00,913,525,18,1620,28,12.5,66.8,0.962,0.5
3/19/2004,6:00:00,969,607,56,1373,61,12.3,66.3,0.9487,0.7
3/19/2004,7:00:00,1182,845,115,1054,99,12.4,64.9,0.9332,1.5
3/19/2004,8:00:00,1740,1372,320,671,157,13,61.6,0.9209,4.8
3/19/2004,9:00:00,1819,1582,357,575,166,13.6,58.8,0.912,6.2
3/19/2004,10:00:00,1427,1275,253,701,149,13.9,57.1,0.9032,4
3/19/2004,11:00:00,1390,1191,218,759,135,14.5,54.4,0.8917,3.3
3/19/2004,12:00:00,1283,1117,192,813,127,15.5,50.1,0.8744,2.8
3/19/2004,13:00:00,1304,1157,176,793,122,16.1,47.6,0.8655,3
3/19/2004,14:00:00,1364,1202,198,771,135,16.3,47.1,0.864,3.3
3/19/2004,15:00:00,1410,1268,212,724,139,16.4,47.5,0.8791,3.5
3/19/2004,16:00:00,1476,1280,249,708,147,16.1,50.2,0.9094,4
3/19/2004,17:00:00,1522,1320,270,690,158,16,50.7,0.9142,4.6
3/19/2004,18:00:00,1442,1301,231,704,146,15.8,50.3,0.8989,4.1
3/19/2004,19:00:00,1469,1344,251,677,144,15.5,50.6,0.884,4.5
3/19/2004,20:00:00,1467,1292,210,698,138,15.4,51.4,0.8956,3.9
3/19/2004,21:00:00,1421,1202,249,748,143,15.2,53.1,0.9117,4
3/19/2004,22:00:00,1175,945,143,904,116,14.7,57.6,0.9573,2.2
3/19/2004,23:00:00,1215,912,127,948,109,14.2,58.3,0.938,2.1
3/20/2004,0:00:00,1127,802,104,1064,92,13.8,57.9,0.9085,1.7
3/20/2004,1:00:00,1090,773,86,1105,83,13.9,55.9,0.8842,1.6
3/20/2004,2:00:00,1017,718,74,1182,81,13.9,55.6,0.8765,1.3
3/20/2004,3:00:00,997,677,-200,1252,-200,13.8,55.1,0.8666,1.3
3/20/2004,4:00:00,945,646,44,1308,55,13.8,54.6,0.8574,-200
3/20/2004,5:00:00,956,661,42,1260,53,13.6,55.1,0.856,0.8
3/20/2004,6:00:00,966,622,63,1317,67,13.6,59,0.9129,0.8
3/20/2004,7:00:00,1064,728,115,1161,91,13.5,58.4,0.896,1.1
3/20/2004,8:00:00,1300,935,170,902,113,13.8,58,0.9083,2.1
3/20/2004,9:00:00,1348,998,147,834,102,14.6,53.1,0.8765,2.4
3/20/2004,10:00:00,1425,1068,166,776,107,15,52.3,0.8881,2.6
3/20/2004,11:00:00,1474,1061,195,768,113,15.4,52.1,0.9046,2.8
3/20/2004,12:00:00,1490,1039,182,782,108,16.3,50,0.9158,2.6
3/20/2004,13:00:00,1495,1040,168,809,105,17.1,47.9,0.9281,2.6
3/20/2004,14:00:00,1376,953,125,900,93,19,42.9,0.937,2.1
3/20/2004,15:00:00,1305,884,95,980,87,19.5,42.3,0.9476,1.7
3/20/2004,16:00:00,1283,844,79,1036,76,19.5,42.3,0.9493,1.6
3/20/2004,17:00:00,1392,967,119,930,94,19.1,43.8,0.9556,2.1
3/20/2004,18:00:00,1452,1063,142,856,110,18.5,46.3,0.9744,2.3
3/20/2004,19:00:00,1633,1199,215,734,136,17.4,51.6,1.0159,3.5
3/20/2004,20:00:00,1625,1191,229,733,139,17.1,51.3,0.9914,3.9
3/20/2004,21:00:00,1535,1108,206,785,125,16.4,53.8,0.9964,3.3
3/20/2004,22:00:00,1323,973,147,864,111,16.2,55.4,1.0132,2.3
3/20/2004,23:00:00,1309,937,122,905,97,15.9,57.7,1.0356,2.1
3/21/2004,0:00:00,1456,999,175,835,107,15.7,58.6,1.0396,2.8
3/21/2004,1:00:00,1300,872,133,941,90,15.1,60.9,1.0398,2.1
3/21/2004,2:00:00,1203,823,89,1004,84,15.6,56.6,0.9951,1.6
3/21/2004,3:00:00,1195,836,-200,987,-200,15.2,57.9,0.9941,1.6
3/21/2004,4:00:00,1117,802,85,1029,87,15.4,57.8,1.0021,-200
3/21/2004,5:00:00,1062,711,55,1136,66,14.9,60.6,1.0196,1.1
3/21/2004,6:00:00,947,594,24,1300,36,14.5,63,1.0316,0.7
3/21/2004,7:00:00,1065,687,72,1143,62,14.2,66.2,1.063,0.8
3/21/2004,8:00:00,1155,734,122,1062,91,14.5,65.3,1.0704,1.2
3/21/2004,9:00:00,1220,782,111,996,89,15.3,62.1,1.073,1.4
3/21/2004,10:00:00,1301,862,123,914,93,16.3,59,1.0868,1.7
3/21/2004,11:00:00,1279,870,106,911,81,18.9,49.6,1.07,1.8
3/21/2004,12:00:00,1267,883,103,953,82,19.4,46.1,1.0249,1.8
3/21/2004,13:00:00,1239,848,102,981,80,20.8,41.6,1.0091,1.9
3/21/2004,14:00:00,1128,742,48,1144,48,21.4,40.3,1.0126,1.3
3/21/2004,15:00:00,1243,916,63,962,61,21.2,39.3,0.9791,1.6
3/21/2004,16:00:00,1208,853,98,1060,89,20.3,38,0.8942,1.9
3/21/2004,17:00:00,1306,938,132,961,105,19.4,41.3,0.9206,2.3
3/21/2004,18:00:00,1546,1151,173,769,116,18.5,43.8,0.9252,3.8
3/21/2004,19:00:00,1501,1071,185,823,119,17.8,48.1,0.9689,3.5
3/21/2004,20:00:00,1605,1153,266,769,144,17.9,46.9,0.952,4.3
3/21/2004,21:00:00,1316,974,188,883,123,17.4,49.1,0.9688,2.8
3/21/2004,22:00:00,1195,898,122,933,105,17,51.7,0.9914,1.9
3/21/2004,23:00:00,1211,896,112,920,93,16.4,55.1,1.0198,1.9
3/22/2004,0:00:00,1161,815,93,995,86,16.1,60,1.0919,1.7
3/22/2004,1:00:00,1095,767,74,1050,76,15.8,60.5,1.0805,1.5
3/22/2004,2:00:00,897,563,23,1417,33,16.3,57,1.0491,0.6
3/22/2004,3:00:00,842,468,-200,1813,-200,16.9,53.9,1.0309,0.4
3/22/2004,4:00:00,854,481,17,1756,27,16.1,55.9,1.0153,-200
3/22/2004,5:00:00,845,472,15,1786,23,16.5,53.9,1.0049,0.3
3/22/2004,6:00:00,942,586,41,1480,46,16.4,54,0.9979,0.6
3/22/2004,7:00:00,1090,768,86,1072,76,15.7,57.6,1.0195,1.2
3/22/2004,8:00:00,1514,1230,226,732,116,15.8,53.7,0.9571,3.6
3/22/2004,9:00:00,1379,1252,214,711,115,17.4,42.1,0.8281,3.7
3/22/2004,10:00:00,1074,854,115,1032,83,17.9,38.4,0.7793,1.8
3/22/2004,11:00:00,1090,868,124,1026,87,18.5,36.7,0.7764,1.6
3/22/2004,12:00:00,1110,964,122,947,90,21,29.6,0.7263,1.9
3/22/2004,13:00:00,1102,994,107,955,87,21.3,28.1,0.7067,2
3/22/2004,14:00:00,1100,1021,133,952,99,21.3,26.1,0.6539,2.2
3/22/2004,15:00:00,1094,1003,130,965,99,21.3,26.8,0.6681,2.1
3/22/2004,16:00:00,1076,1034,150,964,101,21.3,24.2,0.606,2.3
3/22/2004,17:00:00,1152,1062,138,928,103,20.2,28.5,0.6682,2.6
3/22/2004,18:00:00,1407,1249,213,720,129,17,43.1,0.8264,3.8
3/22/2004,19:00:00,1438,1325,232,678,143,15.6,47.4,0.8347,4.4
3/22/2004,20:00:00,1425,1325,238,678,146,15.3,47.4,0.8178,4.5
3/22/2004,21:00:00,1279,1131,180,775,124,14.5,49.7,0.8177,3.3
3/22/2004,22:00:00,1132,916,128,920,113,13.9,52,0.8231,2
3/22/2004,23:00:00,1006,729,65,1142,80,14.5,49.4,0.8106,1.1
3/23/2004,0:00:00,982,700,53,1204,72,13.8,51.4,0.8071,0.9
3/23/2004,1:00:00,969,636,47,1271,64,14,51.3,0.8163,0.8
3/23/2004,2:00:00,941,621,51,1298,70,13,56.8,0.8444,0.7
3/23/2004,3:00:00,892,522,-200,1522,-200,11,70,0.9215,0.5
3/23/2004,4:00:00,855,478,20,1701,31,10.1,76.8,0.9483,-200
3/23/2004,5:00:00,834,459,13,1908,22,8.8,80.5,0.9147,0.3
3/23/2004,6:00:00,909,567,33,1542,47,9.6,75.4,0.9004,0.5
3/23/2004,7:00:00,1061,745,103,1178,88,9.8,75,0.9093,1.1
3/23/2004,8:00:00,1441,1124,224,851,130,10,74.2,0.9117,3
3/23/2004,9:00:00,1498,1325,244,684,132,11.2,69.7,0.9232,3.8
3/23/2004,10:00:00,1343,1185,237,760,132,12,62.9,0.8803,3.4
3/23/2004,11:00:00,1308,1166,220,792,131,12.8,55.8,0.821,3
3/23/2004,12:00:00,1209,1097,207,837,129,13.1,54.8,0.8234,2.7
3/23/2004,13:00:00,1310,1207,208,770,132,13.8,53.4,0.8351,3.5
3/23/2004,14:00:00,1171,1064,160,881,110,16,42.4,0.7674,2.8
3/23/2004,15:00:00,1112,980,131,924,99,14.1,49.8,0.7971,1.9
3/23/2004,16:00:00,1132,927,128,944,100,12,61.1,0.8537,2
3/23/2004,17:00:00,1225,1111,176,818,122,13.6,54.6,0.8465,3
3/23/2004,18:00:00,1065,953,107,962,97,13.7,49.5,0.7695,1.9
3/23/2004,19:00:00,1236,1084,131,854,112,11.7,57.1,0.7822,2.7
3/23/2004,20:00:00,1309,1126,166,812,128,11.5,58.2,0.7867,3.3
3/23/2004,21:00:00,1089,884,89,1006,101,12.6,54.2,0.7881,1.7
3/23/2004,22:00:00,1000,776,81,1141,96,12,54.9,0.7664,1.3
3/23/2004,23:00:00,1041,782,78,1105,86,11,61.4,0.8057,1.3
3/24/2004,0:00:00,1045,756,70,1137,85,11.1,62.2,0.8199,1.2
3/24/2004,1:00:00,997,744,76,1151,79,10.8,62.5,0.8082,1.1
3/24/2004,2:00:00,948,634,43,1320,61,11.3,60,0.8025,0.9
3/24/2004,3:00:00,878,551,-200,1493,-200,10.6,61.6,0.7856,0.6
3/24/2004,4:00:00,908,559,44,1477,66,10.2,62.7,0.7813,-200
3/24/2004,5:00:00,892,522,34,1572,54,10.9,58.6,0.7628,0.6
3/24/2004,6:00:00,954,561,43,1496,57,10.8,57.2,0.7382,0.8
3/24/2004,7:00:00,1045,751,79,1186,75,10.4,59.2,0.7455,1.2
3/24/2004,8:00:00,1383,1109,174,832,97,11,57.3,0.7501,3.1
3/24/2004,9:00:00,1597,1395,235,652,110,11.2,56.9,0.7565,4.4
3/24/2004,10:00:00,1318,1124,218,762,113,12.1,54.9,0.7734,3.4
3/24/2004,11:00:00,1138,898,136,950,88,15.1,44.3,0.7535,1.7
3/24/2004,12:00:00,1098,842,117,1012,85,15.6,40.6,0.7146,1.5
3/24/2004,13:00:00,1118,927,119,959,96,16.9,34.6,0.6597,1.7
3/24/2004,14:00:00,1170,1009,126,879,106,16.6,35.6,0.6697,2.2
3/24/2004,15:00:00,1112,842,100,1015,91,11.3,63.9,0.8554,-200
3/24/2004,16:00:00,1390,1028,197,829,126,9.6,81.1,0.972,2.7
3/24/2004,17:00:00,1353,1096,195,774,130,11.7,69.1,0.9497,2.8
3/24/2004,18:00:00,1260,1050,156,828,111,10.7,68.5,0.8794,2.7
