,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Car
101,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,1.0
102,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,2.0
103,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,1.0
104,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,5.0
105,Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,1.0
106,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,4.0
107,Airport West,7 McNamara Av,3,h,715000.0,S,Barry,17/09/2016,13.5,2.0
108,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,2.0
109,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,2.0
110,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,13.5,3.0
111,Airport West,1/41 Hillside Gr,2,t,460000.0,VB,Nelson,18/06/2016,13.5,2.0
112,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,1.0
113,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,1.0
114,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,1.0
115,Airport West,7/42 York St,3,u,445000.0,S,Brad,22/05/2016,13.5,2.0
116,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,1.0
117,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,1.0
118,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,1.0
119,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,2.0
120,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,13.5,2.0
121,Airport West,2/89 Marshall Rd,3,u,1050173.344955408,VB,Barry,25/02/2017,13.5,2.0
122,Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017,13.5,1.0
123,Airport West,4/40 McNamara Av,2,u,474000.0,PI,Barry,26/07/2016,13.5,2.0
124,Airport West,5/93 McNamara Av,2,t,490000.0,SP,Frank,26/07/2016,13.5,2.0
125,Airport West,2/137 McNamara Av,3,h,405000.0,S,Ray,27/06/2016,13.5,2.0
126,Airport West,1/46 Bowes Av,3,t,715000.0,S,Barry,27/11/2016,13.5,2.0
127,Airport West,1/34 Elstone Av,3,u,671500.0,S,McDonald,27/11/2016,13.5,2.0
128,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,13.5,2.0
129,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3.0
130,Airport West,22a Walters Av,3,u,820000.0,S,Nelson,28/08/2016,13.5,2.0
131,Airport West,1/145 Parer Rd,3,u,650000.0,PI,Nelson,30/07/2016,13.5,2.0
132,Airport West,3/35 Walters Av,3,t,552000.0,SP,Nelson,30/07/2016,13.5,2.0
133,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,0.0
134,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.3,0.0
135,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,0.0
136,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,0.0
137,Albert Park,14 Merton St,2,h,1050173.344955408,SP,Marshall,4/03/2017,3.3,0.0
138,Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,0.0
139,Albert Park,9 Boyd St,3,h,1050173.344955408,SN,Greg,6/08/2016,3.3,1.0
140,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.3,0.0
141,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,1.0
142,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016,3.3,1.0
143,Albert Park,81 Richardson St,3,h,1050173.344955408,S,Marshall,7/05/2016,3.3,2.0
144,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,2.0
145,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,1.0
146,Albert Park,114 Victoria Av,3,h,2485000.0,S,Cayzer,8/10/2016,3.3,2.0
147,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016,3.3,1.0
148,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,1.0
149,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,1.0
150,Albert Park,5 Withers St,3,h,1050173.344955408,SN,Marshall,10/09/2016,3.3,0.0
151,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,0.0
152,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,1.0
153,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016,3.3,1.0
154,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,0.0
155,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,2.0
156,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,0.0
157,Albert Park,140 Danks St,2,h,1050173.344955408,SP,Marshall,13/08/2016,3.3,2.0
158,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016,3.3,1.0
159,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,0.0
160,Albert Park,1 Herbert Pl,2,h,1050173.344955408,S,hockingstuart,15/10/2016,3.3,1.0
161,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,0.0
162,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,1.0
163,Albert Park,28 Dinsdale St,4,h,1050173.344955408,S,Marshall,17/09/2016,3.3,0.0
164,Albert Park,90 Danks St,3,h,1050173.344955408,S,Marshall,18/03/2017,3.3,2.0
165,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017,3.3,0.0
166,Albert Park,97 Page St,3,h,3010000.0,S,Greg,18/03/2017,3.3,0.0
167,Albert Park,36 Ashworth St,3,h,1050173.344955408,SP,Marshall,18/06/2016,3.3,0.0
168,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,1.0
169,Albert Park,18 Herbert St,3,h,1050173.344955408,SN,Cayzer,19/11/2016,3.3,0.0
170,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,1.0
171,Albert Park,9 Merton Pl,3,h,1050173.344955408,SP,Marshall,22/05/2016,3.3,1.0
172,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,1.0
173,Albert Park,16 Dinsdale St,3,h,1050173.344955408,S,Greg,24/09/2016,3.3,1.0
174,Albert Park,51 Graham St,2,h,1050173.344955408,PI,Marshall,24/09/2016,3.3,1.0
175,Albert Park,143 Kerferd Rd,7,h,1050173.344955408,SN,hockingstuart,24/09/2016,3.3,0.0
176,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,1.0
177,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017,3.3,0.0
178,Albert Park,115 Page St,4,h,4735000.0,S,Marshall,25/02/2017,3.3,1.0
179,Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.3,0.0
180,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,1.0
181,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,1.0
182,Albert Park,22 Greig St,3,h,3755000.0,S,Greg,26/07/2016,3.3,2.0
183,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016,3.3,1.0
184,Albert Park,3 Faussett St,2,u,1810000.0,PI,Marshall,27/06/2016,3.3,2.0
185,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.3,1.0
186,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.3,0.0
187,Albert Park,7 Herbert Pl,2,h,1050173.344955408,SP,Marshall,28/05/2016,3.3,0.0
188,Albert Park,8 Kerferd Pl,4,h,1050173.344955408,SP,Marshall,28/05/2016,3.3,0.0
189,Albert Park,5 Reed St,3,h,1050173.344955408,SN,Greg,28/05/2016,3.3,1.0
190,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,0.0
191,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,2.0
192,Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,30/07/2016,3.3,1.0
193,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.3,0.0
194,Alphington,30 Austin St,3,h,1050173.344955408,SN,McGrath,3/09/2016,6.4,1.0
195,Alphington,6 Smith St,4,h,2000000.0,S,Brace,3/09/2016,6.4,4.0
196,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.4,2.0
197,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.4,2.0
198,Alphington,1/9 Roemer Cr,2,u,480000.0,PI,Miles,7/05/2016,6.4,2.0
199,Alphington,4 Tuckett St,3,h,1050173.344955408,S,Jellis,7/05/2016,6.4,3.0
200,Alphington,2/21 Fulham Rd,3,t,1304000.0,SP,Holland,8/10/2016,6.4,2.0
201,Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,1.0
202,Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,4.0
203,Alphington,29 Alphington St,5,h,1050173.344955408,S,Collins,12/11/2016,6.4,4.0
204,Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,1.0
205,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.4,3.0
206,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016,6.4,1.0
207,Alphington,4/5 Chandler Hwy,4,t,1050173.344955408,PN,Nelson,13/08/2016,6.4,2.0
208,Alphington,69 Lucerne Cr,3,h,1480000.0,S,Nelson,13/08/2016,6.4,2.0
209,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,2.0
210,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.4,2.0
211,Alphington,11 Tower Av,4,h,1050173.344955408,S,Jellis,16/04/2016,6.4,2.0
212,Alphington,1/17 Rex Av,2,u,590000.0,PI,Nelson,17/09/2016,6.4,2.0
213,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.4,1.0
214,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,2.0
215,Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016,6.4,2.0
216,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,1.0
217,Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016,6.4,1.0
218,Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.4,0.0
219,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,1.0
220,Alphington,17 Lowther St,3,h,1361000.0,S,Collins,25/02/2017,6.4,2.0
221,Alphington,29 Naroon Rd,4,h,1050173.344955408,SP,Jellis,25/02/2017,6.4,2.0
222,Alphington,13a Fulham Rd,3,h,1310000.0,S,Jellis,26/07/2016,6.4,2.0
223,Alphington,32/23 Coate Av,3,h,570000.0,VB,Thomas,27/06/2016,6.4,2.0
224,Alphington,22 Lowther St,3,h,1165000.0,S,Barry,27/06/2016,6.4,2.0
225,Alphington,6/11 Broomfield Av,2,u,530000.0,S,Jellis,27/11/2016,6.4,2.0
226,Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,27/11/2016,6.4,2.0
227,Alphington,21 Como St,5,h,1050173.344955408,SN,Nelson,28/08/2016,6.4,2.0
228,Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,28/08/2016,6.4,0.0
229,Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,3.0
230,Altona,158 Queen St,3,h,520000.0,VB,Greg,3/09/2016,13.8,1.0
231,Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016,13.8,3.0
232,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,13.8,2.0
233,Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,2.0
234,Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016,13.8,4.0
235,Altona,29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016,13.8,6.0
236,Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016,13.8,2.0
237,Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,6/08/2016,13.8,1.0
238,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,13.8,1.0
239,Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,7/11/2016,13.8,1.0
240,Altona,1/4 Deavey Ct,2,u,540000.0,VB,hockingstuart,8/10/2016,13.8,2.0
241,Altona,1/136 Queen St,2,u,580000.0,S,Barlow,8/10/2016,13.8,1.0
242,Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,8/10/2016,13.8,4.0
243,Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,8/10/2016,13.8,2.0
244,Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,10/09/2016,13.8,1.0
245,Altona,261 Queen St,4,h,1070000.0,S,Barlow,10/09/2016,13.8,2.0
246,Altona,4/5 Rose St,2,u,425000.0,S,hockingstuart,10/09/2016,13.8,2.0
247,Altona,1/60 David St,3,u,605000.0,S,Jas,10/12/2016,13.8,2.0
248,Altona,1A Merritt Ct,3,t,705000.0,S,hockingstuart,11/02/2017,13.8,2.0
249,Altona,4/31 Millers Rd,2,u,391000.0,SP,Greg,11/02/2017,13.8,1.0
250,Altona,111/112 Pier St,2,u,440000.0,SP,hockingstuart,11/02/2017,13.8,1.0
251,Altona,24 Wren St,4,h,845000.0,S,hockingstuart,11/02/2017,13.8,2.0
252,Altona,54 Seves St,3,h,766000.0,S,Williams,11/03/2017,13.8,2.0
253,Altona,1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,12/11/2016,13.8,2.0
254,Altona,2/6 Galvin St,3,t,650000.0,SP,Williams,12/11/2016,13.8,2.0
255,Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13/08/2016,13.8,1.0
256,Altona,10 Wilga Av,3,t,916500.0,S,hockingstuart,13/08/2016,13.8,2.0
257,Altona,164 Maidstone St,3,h,635000.0,S,Sweeney,14/05/2016,13.8,4.0
258,Altona,3/25 Rayner St,2,u,620000.0,SP,hockingstuart,14/05/2016,13.8,1.0
259,Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,15/10/2016,13.8,1.0
260,Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,16/04/2016,13.8,1.0
261,Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16/04/2016,13.8,2.0
262,Altona,5/8 David St,2,u,580000.0,PI,Biggin,16/07/2016,13.8,1.0
263,Altona,1/28 Seves St,3,h,712000.0,S,hockingstuart,17/09/2016,13.8,2.0
264,Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,18/03/2017,13.8,2.0
265,Altona,4 Boyd St,3,h,980000.0,S,Barlow,19/11/2016,13.8,2.0
266,Altona,5a Emu Av,4,h,1000000.0,S,Barlow,19/11/2016,13.8,2.0
267,Altona,12 Spear Ct,3,t,605100.0,S,hockingstuart,22/05/2016,13.8,0.0
268,Altona,185 Queen St,3,h,880000.0,PI,Barlow,22/08/2016,13.8,1.0
269,Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23/04/2016,13.8,1.0
270,Altona,95 Blyth St,4,h,1050173.344955408,SN,hockingstuart,25/02/2017,13.8,3.0
271,Altona,51 Millers Rd,4,h,1030000.0,S,Barlow,25/02/2017,13.8,0.0
272,Altona,2/119 Railway St N,3,u,605000.0,S,Barlow,25/02/2017,13.8,2.0
273,Altona,12 Ransom Av,3,h,685000.0,S,Barlow,25/02/2017,13.8,2.0
274,Altona,2/5 Rose St,2,u,1050173.344955408,PI,Point,25/02/2017,13.8,1.0
275,Altona,24 McIntyre Dr,3,h,753000.0,S,Barlow,27/06/2016,13.8,2.0
276,Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016,13.8,1.0
277,Altona,49 Bent St,3,h,1500000.0,S,Barlow,28/05/2016,13.8,1.0
278,Altona,5/57 Blyth St,3,u,730000.0,SP,Barlow,28/05/2016,13.8,1.0
279,Altona,15 Kookaburra St,3,h,900000.0,S,Sweeney,28/05/2016,13.8,4.0
280,Altona,219 Civic Pde,3,h,740000.0,S,Greg,28/08/2016,13.8,2.0
281,Altona,3 Curtin Ct,4,h,931000.0,S,Sweeney,28/08/2016,13.8,3.0
282,Altona,2/60 David St,2,h,535600.0,SP,Compton,30/07/2016,13.8,1.0
283,Altona North,1 Beuron Rd,3,h,1050173.344955408,SP,Williams,3/09/2016,11.1,1.0
284,Altona North,45 Hearn St,5,h,1085000.0,S,FN,3/09/2016,11.1,6.0
285,Altona North,4 Knapp St,3,h,781000.0,S,Jas,3/09/2016,11.1,2.0
